"编号","开始答题时间","结束答题时间","答题时长","1.您的学历是？","1.您的学历是？[选项填空]","2.您的年龄是？","3.若您是大学生，您的专业是？（非大学学历选无）","3.若您是大学生，您的专业是？（非大学学历选无）[选项填空]","4.您是否学习过人工智能/大模型相关内容？","5.您主要通过什么方式学习AI知识（多选）:B站/YouTube视频","5.您主要通过什么方式学习AI知识（多选）:在线课程（Courswra/慕课/极客时间等）","5.您主要通过什么方式学习AI知识（多选）:学校课程","5.您主要通过什么方式学习AI知识（多选）:书籍/官方文档","5.您主要通过什么方式学习AI知识（多选）:技术博客/公众号","5.您主要通过什么方式学习AI知识（多选）:直接做项目/调API","5.您主要通过什么方式学习AI知识（多选）:其他____","5.您主要通过什么方式学习AI知识（多选）:其他____[选项填空]","6.您在学习AI(如大模型、RAG、Agent)时，最大的困扰是什么？:知识点太散，不知道从哪开始","6.您在学习AI(如大模型、RAG、Agent)时，最大的困扰是什么？:看完就忘，学完不会用","6.您在学习AI(如大模型、RAG、Agent)时，最大的困扰是什么？:概念抽象，没人帮我判断是否真的懂了","6.您在学习AI(如大模型、RAG、Agent)时，最大的困扰是什么？:课程太长，坚持不下来","6.您在学习AI(如大模型、RAG、Agent)时，最大的困扰是什么？:缺少联系和反馈","6.您在学习AI(如大模型、RAG、Agent)时，最大的困扰是什么？:需要的工具/环境太复杂，配不动","6.您在学习AI(如大模型、RAG、Agent)时，最大的困扰是什么？:其他____","6.您在学习AI(如大模型、RAG、Agent)时，最大的困扰是什么？:其他____[选项填空]","7.学完一个AI知识点后，您通常怎么判断确认自己会了？","8.您是否有“用自己的话把学过的知识讲一遍的习惯”？","9.如果有工具要求您“用自己的话讲解一个概念，并自动判断讲得对不对”，您愿意用吗？","10.您认为“能讲清楚”能否作为“真正学会”的判断标准？","11.以下哪个功能对您最有吸引力？","12.您能接受的通关条件是？","13.如果产品完全离线可用（不需要联网，不需要API key也能学习通关），对您有吸引力吗？","14.您希望学习路径是固定的还是个性化的？","15.如果这个工具对大学生免费，对学校/企业收费授权，您觉得合理吗？","15.如果这个工具对大学生免费，对学校/企业收费授权，您觉得合理吗？[选项填空]","16.如果您是高校AI课程的讲师，你是否愿意为这样的工具（学生讲解自动复评＋学习数据看板）向学校申请采购？","17.如果您个人使用，您能接受的付费方式是？（多选）:完全免费，靠广告/开源","17.如果您个人使用，您能接受的付费方式是？（多选）:基础功能免费，AI复评等高级功能按月订阅","17.如果您个人使用，您能接受的付费方式是？（多选）:一次信买断","17.如果您个人使用，您能接受的付费方式是？（多选）:按使用量付费（按API调用次数）","17.如果您个人使用，您能接受的付费方式是？（多选）:不愿意付费","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"10","06-Sep-2026 14:52:07","06-Sep-2026 14:54:41","154","C.本科（在读）","","B.18-22岁","B.____________","电气工程及其自动化","C.听说过但没学过","A.B站/YouTube视频","","","","","","G.其他____________","","A.知识点太散，不知道从哪开始","B.看完就忘，学完不会用","","","","","","","D.看完觉得懂就会了","D.从未做过","B.愿意","B.基本可以","E.都一般","C.只要做题通过就行","C.无所谓，我一直有网","D.先固定，学到一定程度再开放选择","A.合理，学生就应该免费","","B.可能愿意，但要看价格和效果","","B.基础功能免费，AI复评等高级功能按月订阅","","","","简体中文","未清洗","","中国","广西壮族自治区","桂林市","","240************************************","Mozilla/5.0 (iPhone; CPU iPhone OS 26_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 QQ/9.3.30.606 V1_IPH_SQ_9.3.30_1_APP_A Pixel/1242 MiniAppEnable SimpleUISwitch/0 StudyMode/0 CurrentMode/0 CurrentFontScale/1.000000 QQTheme/10","",
"9","06-Sep-2026 14:52:10","06-Sep-2026 14:54:40","150","C.本科（在读）","","A.18岁及以下","B.____________","计算机科学与技术","C.听说过但没学过","A.B站/YouTube视频","","","","","","","","A.知识点太散，不知道从哪开始","B.看完就忘，学完不会用","","","","","","","C.能独立写出相关代码","C.很少，几乎不做","B.愿意","B.基本可以","C.学完一个知识点自动解锁下一个 像游戏通关一样推进","A.讲解通过＋做题正确率达标","A.非常重要","B.根据我的基础自动调整路径","B.合理，但希望学校买单后我能用","","A.愿意 能解决我判断学生是否真懂的难题","A.完全免费，靠广告/开源","","","","","简体中文","未清洗","","中国","广西壮族自治区","桂林市","","182***********","Mozilla/5.0 (Linux; Android 14; PGBM10 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 V1_AND_SQ_9.3.55_15900_YYB_D QQ/9.3.55.40650 NetType/WIFI WebP/0.4.1 AppId/537386850 Pixel/1080 Stat","",
"8","06-Sep-2026 14:48:05","06-Sep-2026 14:54:05","360","C.本科（在读）","","B.18-22岁","B.____________","数据科学与大数据技术","B.零散学习过（看过一些课程）","","","C.学校课程","","","","","","A.知识点太散，不知道从哪开始","","","","","","G.其他____________","","E.从不主动验证","C.很少，几乎不做","B.愿意","C.不太确定","B.知识地图导航，把零散的AI知识点连成一条学习路径","C.只要做题通过就行","C.无所谓，我一直有网","B.根据我的基础自动调整路径","D.其他____________","对学生收费，但提供特殊优惠","C.不太愿意，现有工具够用","","","C.一次信买断","D.按使用量付费（按API调用次数）","","简体中文","未清洗","","中国","广西壮族自治区","","","240**********************************","Mozilla/5.0 (Linux; Android 15; 23049RAD8C Build/AQ3A.250226.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.189 Mobile Safari/537.36 XWEB/1500117 MMWEBSDK/20260604 MMWEBID/5868 MicroMessenger/8.0.77.3160(0x28004D35) WeChat/a","",
"7","06-Sep-2026 14:52:27","06-Sep-2026 14:54:02","95","C.本科（在读）","","B.18-22岁","B.____________","电气","C.听说过但没学过","A.B站/YouTube视频","","","","","","","","","","C.概念抽象，没人帮我判断是否真的懂了","","","","","","B.能给别人讲清楚","A.经常，每次学习都完成","A.非常愿意","B.基本可以","A.AI老师听我讲解概念，判断我讲得对不对并指出问题","A.讲解通过＋做题正确率达标","B.比较重要","B.根据我的基础自动调整路径","A.合理，学生就应该免费","","A.愿意 能解决我判断学生是否真懂的难题","A.完全免费，靠广告/开源","","","","","简体中文","未清洗","","中国","广西壮族自治区","桂林市","","182*********","Mozilla/5.0 (Linux; Android 14; PJB110 Build/UP1A.230620.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.35_15560_YYB_D QQ/9.3.35.39800 NetType/WIFI WebP/0.3.0 A","",
"6","06-Sep-2026 14:51:51","06-Sep-2026 14:53:59","128","C.本科（在读）","","B.18-22岁","B.____________","电气工程及其自动化","C.听说过但没学过","A.B站/YouTube视频","","C.学校课程","","","","","","","","C.概念抽象，没人帮我判断是否真的懂了","","","","","","E.从不主动验证","B.偶尔，重要知识点会","A.非常愿意","D.不行","B.知识地图导航，把零散的AI知识点连成一条学习路径","A.讲解通过＋做题正确率达标","B.比较重要","B.根据我的基础自动调整路径","A.合理，学生就应该免费","","A.愿意 能解决我判断学生是否真懂的难题","A.完全免费，靠广告/开源","B.基础功能免费，AI复评等高级功能按月订阅","","","","简体中文","未清洗","","中国","广西壮族自治区","桂林市","","182***********","Mozilla/5.0 (Linux; Android 15; PHW110 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.50_15730_YYB_D QQ/9.3.50.40225 NetType/WIFI WebP/0.3.0 A","",
"5","06-Sep-2026 14:52:14","06-Sep-2026 14:53:45","91","E.硕士（在读）","","B.18-22岁","B.____________","哲学论","B.零散学习过（看过一些课程）","","","","D.书籍/官方文档","E.技术博客/公众号","","","","","","C.概念抽象，没人帮我判断是否真的懂了","","","","","","C.能独立写出相关代码","B.偶尔，重要知识点会","C.无所谓","B.基本可以","B.知识地图导航，把零散的AI知识点连成一条学习路径","B.只要讲解通过就行","B.比较重要","B.根据我的基础自动调整路径","B.合理，但希望学校买单后我能用","","C.不太愿意，现有工具够用","","B.基础功能免费，AI复评等高级功能按月订阅","","","","简体中文","未清洗","","中国","广西壮族自治区","桂林市","","182***********","Mozilla/5.0 (Linux; Android 16; V2301A Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 V1_AND_SQ_9.3.55_15900_YYB_D QQ/9.3.55.40650 NetType/WIFI WebP/0.4.1 AppId/537386846 Pixel/1","",
"4","06-Sep-2026 14:46:46","06-Sep-2026 14:49:43","177","B.大专","","B.18-22岁","B.____________","质量认证","B.零散学习过（看过一些课程）","","","","","","","G.其他____________","零散知识","A.知识点太散，不知道从哪开始","","","","","","","","E.从不主动验证","D.从未做过","D.不愿意","A.完全可以","A.AI老师听我讲解概念，判断我讲得对不对并指出问题","A.讲解通过＋做题正确率达标","D.不需要离线","B.根据我的基础自动调整路径","B.合理，但希望学校买单后我能用","","A.愿意 能解决我判断学生是否真懂的难题","A.完全免费，靠广告/开源","B.基础功能免费，AI复评等高级功能按月订阅","C.一次信买断","D.按使用量付费（按API调用次数）","","简体中文","未清洗","","中国","广西壮族自治区","","","240***********************************","Mozilla/5.0 (Linux; Android 13; Mi 10 Pro Build/TKQ1.221114.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.189 Mobile Safari/537.36 XWEB/1500117 MMWEBSDK/20260604 MMWEBID/8449 MicroMessenger/8.0.77.3160(0x28004D96) WeChat/ar","",
"3","06-Sep-2026 14:47:43","06-Sep-2026 14:49:05","82","B.大专","","B.18-22岁","B.____________","电气","C.听说过但没学过","A.B站/YouTube视频","B.在线课程（Courswra/慕课/极客时间等）","","","","","","","","","","","","F.需要的工具/环境太复杂，配不动","","","B.能给别人讲清楚","C.很少，几乎不做","A.非常愿意","B.基本可以","C.学完一个知识点自动解锁下一个 像游戏通关一样推进","A.讲解通过＋做题正确率达标","B.比较重要","B.根据我的基础自动调整路径","B.合理，但希望学校买单后我能用","","B.可能愿意，但要看价格和效果","","B.基础功能免费，AI复评等高级功能按月订阅","","D.按使用量付费（按API调用次数）","","简体中文","未清洗","","中国","广西壮族自治区","南宁市","","240***********************************","Mozilla/5.0 (Linux; Android 16; MEIZU 21 Note Build/BQ2A.251110.001-BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.189 Mobile Safari/537.36 XWEB/1500117 MMWEBSDK/20260502 MMWEBID/5314 MicroMessenger/8.0.74.312","",
"2","06-Sep-2026 14:42:58","06-Sep-2026 14:44:54","116","C.本科（在读）","","B.18-22岁","B.____________","生物技术","B.零散学习过（看过一些课程）","","B.在线课程（Courswra/慕课/极客时间等）","C.学校课程","","","","","","A.知识点太散，不知道从哪开始","","C.概念抽象，没人帮我判断是否真的懂了","","","","","","A.能做对课后题","B.偶尔，重要知识点会","B.愿意","A.完全可以","A.AI老师听我讲解概念，判断我讲得对不对并指出问题","B.只要讲解通过就行","B.比较重要","B.根据我的基础自动调整路径","B.合理，但希望学校买单后我能用","","A.愿意 能解决我判断学生是否真懂的难题","A.完全免费，靠广告/开源","B.基础功能免费，AI复评等高级功能按月订阅","C.一次信买断","D.按使用量付费（按API调用次数）","E.不愿意付费","简体中文","未清洗","","中国","辽宁省","沈阳市","","240**********************************","Mozilla/5.0 (Linux; Android 16; PLJ110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.189 Mobile Safari/537.36 XWEB/1500117 MMWEBSDK/20260604 MMWEBID/681 MicroMessenger/8.0.77.3160(0x28004D35) WeChat/arm64 ","",
"1","06-Sep-2026 14:42:40","06-Sep-2026 14:43:38","58","B.大专","","B.18-22岁","A.无","","A.系统学习过（完成过完整课程）","A.B站/YouTube视频","B.在线课程（Courswra/慕课/极客时间等）","C.学校课程","","","","","","A.知识点太散，不知道从哪开始","B.看完就忘，学完不会用","C.概念抽象，没人帮我判断是否真的懂了","D.课程太长，坚持不下来","E.缺少联系和反馈","F.需要的工具/环境太复杂，配不动","","","D.看完觉得懂就会了","A.经常，每次学习都完成","A.非常愿意","A.完全可以","A.AI老师听我讲解概念，判断我讲得对不对并指出问题","A.讲解通过＋做题正确率达标","A.非常重要","A.固定路线，跟着走就行","A.合理，学生就应该免费","","A.愿意 能解决我判断学生是否真懂的难题","A.完全免费，靠广告/开源","B.基础功能免费，AI复评等高级功能按月订阅","C.一次信买断","D.按使用量付费（按API调用次数）","E.不愿意付费","简体中文","未清洗","","中国","广西壮族自治区","","","240***********************************","Mozilla/5.0 (Linux; Android 13; Mi 10 Pro Build/TKQ1.221114.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.189 Mobile Safari/537.36 XWEB/1500117 MMWEBSDK/20260604 MMWEBID/8449 MicroMessenger/8.0.77.3160(0x28004D96) WeChat/ar","",
